,SSC_CODE_2016,SSC_NAME_2016,1st_language,2nd_language,3rd_language,Latitude,Longitude,Primary_school_ranking,Secondary_school_ranking,yr12_school_ranking,The median of Housing price (k Dollars)
551,10720,Busby,2.0,51.0,20,-33.91413000000001,150.88247,0,0,0,561.0
552,11887,Heckenberg,2.0,51.0,42,-33.91068,150.88887,0,0,0,579.0
553,12617,Miller,2.0,51.0,20,-33.9268,150.8724,0,0,0,568.0
554,10097,Ashcroft,2.0,51.0,40,-33.91447,150.8987392,0,0,0,615.0
555,13461,Sadleir,2.0,51.0,40,-33.9164233,150.8914686,0,0,0,580.0
556,10109,Austral,24.0,2.0,31,-33.93109,150.79361,0,0,0,416.0
557,13420,Rossmore,2.0,24.0,7,-33.9224,150.76964,0,0,0,3000.0
558,12094,Kemps Creek,24.0,2.0,7,-33.87464,150.79868,0,0,0,0.0
559,10575,Bringelly,24.0,2.0,31,-33.92178,150.73234,0,0,0,2900.0
560,11759,Greendale,31.0,7.0,18,-33.92,150.67,0,0,0,0.0
561,10866,Cecil Park,24.0,9.0,41,-33.87297,150.83823,0,0,0,0.0
562,10865,Cecil Hills,51.0,4.0,2,-33.8876831,150.8490573,0,0,0,858.0
563,10856,Catherine Field,24.0,7.0,2,-33.9833,150.76,0,0,0,763.0
564,12305,Leppington,2.0,7.0,24,-33.965,150.801,0,0,0,710.0
565,10954,Cobbitty,24.0,31.0,7,-34.016667,150.683333,0,['70'],['57'],723.0
566,13091,Oran Park,20.0,42.0,24,-34.003,150.743,0,0,0,700.0
567,11756,Green Valley,51.0,2.0,20,-33.90596,150.86681,0,0,0,720.0
568,11397,Elizabeth Hills,4.0,8.0,2,-33.9000666,150.8478522,0,0,0,0.0
569,11915,Hinchinbrook,2.0,51.0,20,-33.9165364,150.8639325,0,0,0,721.0
570,11951,Hoxton Park,2.0,20.0,4,-33.93382,150.85284,0,0,0,673.0
571,10820,Carnes Hill,20.0,2.0,51,-33.9383285,150.8478522,0,0,0,0.0
572,11935,Horningsea Park,2.0,20.0,42,-33.944,150.844,0,0,0,760.0
573,12607,Middleton Grange,4.0,2.0,20,-33.915,150.842,0,0,0,760.0
574,14246,West Hoxton,2.0,20.0,42,-33.93569,150.8308,0,0,0,818.0
575,10472,Bonnyrigg Heights,51.0,41.0,2,-33.89112,150.87206,0,0,0,805.0
576,10471,Bonnyrigg,51.0,27.0,2,-33.89812,150.89006,0,0,0,708.0
577,10515,Bossley Park,4.0,8.0,2,-33.86341,150.88364,0,0,0,815.0
578,10002,Abbotsbury,4.0,24.0,2,-33.875,150.862,0,0,0,927.0
