,MB_CODE_2016,SSC_CODE_2016,SSC_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
1043,10129200000,12388,Lords Hill,1,New South Wales,89.1774
1051,10129860000,13411,Rosemeath,1,New South Wales,41.1679
1054,11205589900,11036,Cooma (NSW),1,New South Wales,0.0218
1168,10232990000,13238,Polo Flat,1,New South Wales,2.8304
1173,10712380000,13217,Pine Valley,1,New South Wales,2.9692
1182,10712516000,12199,Kosciuszko National Park,1,New South Wales,15.2693
1183,10712517000,13072,Old Adaminaby,1,New South Wales,13.7167
1184,10712512000,10632,Buckenderra,1,New South Wales,18.0458
1185,10712513000,10546,Braemar Bay,1,New South Wales,31.5015
1187,10712511000,11573,Frying Pan,1,New South Wales,20.845
1188,10712514000,10015,Adaminaby,1,New South Wales,24.7443
1190,11010770000,13752,Tantangara,1,New South Wales,53.0352
1195,10233520000,12966,Nimmitabel,1,New South Wales,0.1627
1211,10234140000,14466,Yaouk,1,New South Wales,46.3048
1212,10233210000,13528,Shannons Flat,1,New South Wales,41.6795
1219,11209500000,10446,Bolaro,1,New South Wales,127.8562
1220,10232730000,10817,Carlaminda,1,New South Wales,79.248
1221,10234020000,11201,Dangelong,1,New South Wales,30.3928
1223,10232710000,11648,Glen Fergus,1,New South Wales,11.8183
1224,10234200000,13376,Rock Flat,1,New South Wales,213.0563
1226,10232580000,12605,Middle Flat,1,New South Wales,38.8821
1227,10234052000,13039,Numeralla,1,New South Wales,93.8252
1231,10233890000,10968,Colinton (NSW),1,New South Wales,86.8894
1232,11010760000,10667,Bumbalong,1,New South Wales,31.5
1234,10232870000,11766,Greenlands (Snowy Monaro Regional - NSW),1,New South Wales,3.9846
1235,11010730000,13657,Steeple Flat,1,New South Wales,10.4692
1239,10234080000,12224,Kybeyan,1,New South Wales,303.3726
1244,10232720000,11089,Countegany,1,New South Wales,73.0035
1245,10233830000,13978,Tuross,1,New South Wales,106.7603
1249,10232880000,14333,Winifred,1,New South Wales,44.9629
1251,10712320000,14125,Wambrook,1,New South Wales,82.0467
1253,10712210000,13357,Rhine Falls,1,New South Wales,43.6953
1254,10233790000,11188,Dairymans Plains,1,New South Wales,34.9369
1255,10712530000,11295,Dry Plain,1,New South Wales,118.7877
1256,10233190000,10370,Binjura,1,New South Wales,12.5094
1259,10232790000,13167,Peak View,1,New South Wales,4.7136
1260,10234070000,12011,Jerangle,1,New South Wales,19.7917
1262,10233820000,10133,Badja,1,New South Wales,65.6412
1274,10232750000,13400,Rose Valley (Snowy Monaro Regional - NSW),1,New South Wales,70.4403
1275,10233170000,10691,Bunyan,1,New South Wales,59.9864
